0.7399786223871229, 0.4340699311224888, 0.3604798324210623, 0.4117124235892019, 0.78173636212277, 0.3045462798543258, 0.13426029479739998, 0.48911868949696635, 0.48375106040981974, 0.49085041005280095, 
0.5599296778219977, 0.2909438280492386, 0.16913292115987066, 0.7461638727272997, 0.5018257483753197, 0.9782677053628771, 0.7200360215569247, 0.39715169460855615, 0.04541021750415386, 0.200376646371908, 
0.6617592212643998, 0.11374283131812368, 0.7440524482903668, 0.8696798708732673, 0.7262163239000899, 0.12725662132001647, 0.5236279131763502, 0.28930332097764655, 0.7415778626936638, 0.596424930064698, 
0.6632989843805595, 0.6471566007362048, 0.3434999379484833, 0.6726946710434693, 0.9118199023212341, 0.3862318442348318, 0.48451052095806524, 0.7642860627859852, 0.14063203766434051, 0.29229944793975116, 
0.7035033859613522, 0.889130196500131, 0.43653613234120336, 0.6114584468782431, 0.9860119991304779, 0.616389753972203, 0.3291071610982178, 0.8252202869970608, 0.40150866008490294, 0.8516285450679157, 
0.9959522219919844, 0.5576799750496697, 0.7257903495241899, 0.01720792375649438, 0.5283375978942783, 0.07161702004114312, 0.1703511090918699, 0.8173013761470699, 0.7555474247469403, 0.02316728727171513, 
0.8374955363577872, 0.9732036225816578, 0.6469638040453176, 0.32608408028314895, 0.6868317947491017, 0.2948887863478722, 0.5544501358573938, 0.4338511449593805, 0.3374844483206664, 0.19397365204820538, 
0.1561133507465189, 0.773268673951472, 0.8260010101213558, 0.5373337354613622, 0.6386948717813872, 0.4099326185824932, 0.2468056802303502, 0.7644715800940518, 0.6945730019200753, 0.23008529452520787, 
0.46423865214960536, 0.5554409726783518, 0.5446076984732702, 0.06867503682085807, 0.06756154476136655, 0.8915965629008903, 0.34351227258161077, 0.835758406981023, 0.2685811166871662, 0.4700356454661647, 
0.7157272945612217, 0.07425203459146945, 0.29462497101669083, 0.49922217364801036, 0.561796385454531, 0.6420009595559271, 0.2929830713589018, 0.7138538040706016, 0.9042764308259352, 0.8826103750180941

0.2632970001186338, 0.3532614712340012, 0.4651319805175015, 0.16170763104205965, 0.16663639277010578, 0.39091652172346525, 0.7560978322915843, 0.6179219888854495, 0.03250728924267243, 0.2747939033921346, 0.6322605887035642, 0.3774013906350502, 0.10886644795896805, 0.5819058235759609, 0.9542750742527598, 0.5905508727538681, 0.43545563103804763, 0.48613567423218096, 0.3505838521329476, 0.9777716931138271, 0.23333300507262145, 0.42592120215183304, 0.6075525167232128, 0.9054684200170874, 0.13048144883233714, 0.9087867142356275, 0.07210331498425704, 0.6673950511570287, 0.9134534157258891, 0.07720706513833897, 0.889963908106317, 0.3769786019240914, 0.7386835391027867, 0.7192199884390585, 0.40976809143279047, 0.9116316269665873, 0.4104392093925141, 0.5889518647594265, 0.19008147939426767, 0.8711637119024128, 0.5713629126472864, 0.4954403788340217, 0.7138305206800601, 0.1346268070810559, 0.4476209291177148, 0.5655641172139675, 0.5145042051115643, 0.9739348749786908, 0.9652632149320952, 0.42249848404449486, 0.14151565358479412, 0.8927594120160598, 0.4761211088046191, 0.20378911408903566, 0.7033375687573447, 0.6655798905788772, 0.9887859132830953, 0.8981511048245987, 0.9948562813000092, 0.4888119382295154, 0.3182441639677899, 0.48432041707657303, 0.17688208332492317, 0.3289303258901033, 0.33081607902148447, 0.6765335097465691, 0.14245443122254542, 0.9779737132384014, 0.14610743721441866, 0.8638036812182124, 0.2473553136958856, 0.4008516580229271, 0.41401689592505286, 0.08904046209283856, 0.320710133547789, 0.20421288086739953, 0.9116212892249018, 0.20860824590381677, 0.14085388954037692, 0.007858268848798255, 0.8390022297629476, 0.5221612392057049, 0.8066249755991576, 0.023384552867395048, 0.5446859890510181, 0.7875644724650098, 0.7962706083870135, 0.819034789883238, 0.7475333768496385, 0.9729066874388325, 0.6644679589995482, 0.8912672743621951, 0.23805780621269224, 0.9336615660839152, 0.4978040888996559, 0.3913088547672181, 0.5102754017907066, 0.8499631159422184, 0.4119266769017125, 0.7397694599294614
